# [0]VOLTS  [1]isub_xnmos_d  [2]isub_xpmos_d 
 4.500000e-01  9.465915e-07  -8.387057e-09 
 4.600000e-01  9.662677e-07  -6.896420e-09 
 4.700000e-01  9.859436e-07  -5.405782e-09 
 4.800000e-01  1.005619e-06  -3.915144e-09 
 4.900000e-01  1.025294e-06  -2.424505e-09 
 5.000000e-01  1.044969e-06  -9.338676e-10 
 5.100000e-01  1.048512e-06  -8.456500e-10 
 5.200000e-01  1.052022e-06  -7.574323e-10 
 5.300000e-01  1.055531e-06  -6.692146e-10 
 5.400000e-01  1.059040e-06  -5.809969e-10 
 5.500000e-01  1.062550e-06  -4.927792e-10 
 5.600000e-01  1.066059e-06  -4.045614e-10 
 5.700000e-01  1.069568e-06  -3.163437e-10 
 5.800000e-01  1.073077e-06  -2.281260e-10 
 5.900000e-01  1.076587e-06  -1.399083e-10 
 6.000000e-01  1.080096e-06  -5.169058e-11 
 6.100000e-01  1.083703e-06  -4.680421e-11 
 6.200000e-01  1.087310e-06  -4.191783e-11 
 6.300000e-01  1.090917e-06  -3.703146e-11 
 6.400000e-01  1.094524e-06  -3.214509e-11 
 6.500000e-01  1.098131e-06  -2.725871e-11 
 6.600000e-01  1.101738e-06  -2.237234e-11 
 6.700000e-01  1.105344e-06  -1.748597e-11 
 6.800000e-01  1.108951e-06  -1.259959e-11 
 6.900000e-01  1.112558e-06  -7.713217e-12 
 7.000000e-01  1.116165e-06  -2.826844e-12 
 
 0.000000e+00  1.034656e-10  -1.455392e-06 
 1.000000e-02  2.818200e-10  -1.443703e-06 
 2.000000e-02  4.601743e-10  -1.432015e-06 
 3.000000e-02  6.385287e-10  -1.420326e-06 
 4.000000e-02  8.168830e-10  -1.408637e-06 
 5.000000e-02  9.952373e-10  -1.396948e-06 
 6.000000e-02  1.173592e-09  -1.385259e-06 
 7.000000e-02  1.351946e-09  -1.373570e-06 
 8.000000e-02  1.530300e-09  -1.361881e-06 
 9.000000e-02  1.708655e-09  -1.350192e-06 
 1.000000e-01  1.887009e-09  -1.338414e-06 
 1.100000e-01  4.876357e-09  -1.293335e-06 
 1.200000e-01  7.865713e-09  -1.248256e-06 
 1.300000e-01  1.085507e-08  -1.203175e-06 
 1.400000e-01  1.384442e-08  -1.158094e-06 
 1.500000e-01  1.683376e-08  -1.113011e-06 
 1.600000e-01  1.982311e-08  -1.067926e-06 
 1.700000e-01  2.281245e-08  -1.022841e-06 
 1.800000e-01  2.580179e-08  -9.777543e-07 
 1.900000e-01  2.879113e-08  -9.326665e-07 
 2.000000e-01  3.178046e-08  -8.875338e-07 
 2.100000e-01  6.014366e-08  -8.178171e-07 
 2.200000e-01  8.850818e-08  -7.480984e-07 
 2.300000e-01  1.168724e-07  -6.783776e-07 
 2.400000e-01  1.452363e-07  -6.086548e-07 
 2.500000e-01  1.736000e-07  -5.389298e-07 
 2.600000e-01  2.019633e-07  -4.692029e-07 
 2.700000e-01  2.303264e-07  -3.994738e-07 
 2.800000e-01  2.586891e-07  -3.297427e-07 
 2.900000e-01  2.870516e-07  -2.600095e-07 
 3.000000e-01  3.154138e-07  -1.902942e-07 
 3.100000e-01  3.860174e-07  -1.728386e-07 
 3.200000e-01  4.566451e-07  -1.553829e-07 
 3.300000e-01  5.272702e-07  -1.379271e-07 
 3.400000e-01  5.978927e-07  -1.204713e-07 
 3.500000e-01  6.685126e-07  -1.030153e-07 
 3.600000e-01  7.391299e-07  -8.555919e-08 
 3.700000e-01  8.097447e-07  -6.810301e-08 
 3.800000e-01  8.803568e-07  -5.064672e-08 
 3.900000e-01  9.509664e-07  -3.319033e-08 
 4.000000e-01  1.021573e-06  -1.573435e-08 
 4.100000e-01  1.058606e-06  -1.425372e-08 
 4.200000e-01  1.095569e-06  -1.277309e-08 
 4.300000e-01  1.132531e-06  -1.129246e-08 
 4.400000e-01  1.169491e-06  -9.811836e-09 
 4.500000e-01  1.206451e-06  -8.331207e-09 
 4.600000e-01  1.243409e-06  -6.850577e-09 
 4.700000e-01  1.280366e-06  -5.369946e-09 
 4.800000e-01  1.317323e-06  -3.889315e-09 
 4.900000e-01  1.354278e-06  -2.408683e-09 
 5.000000e-01  1.391232e-06  -9.280536e-10 
 5.100000e-01  1.398781e-06  -8.403875e-10 
 5.200000e-01  1.406249e-06  -7.527215e-10 
 5.300000e-01  1.413716e-06  -6.650555e-10 
 5.400000e-01  1.421183e-06  -5.773894e-10 
 5.500000e-01  1.428650e-06  -4.897233e-10 
 5.600000e-01  1.436118e-06  -4.020573e-10 
 5.700000e-01  1.443585e-06  -3.143912e-10 
 5.800000e-01  1.451052e-06  -2.267251e-10 
 5.900000e-01  1.458519e-06  -1.390591e-10 
 6.000000e-01  1.465986e-06  -5.139302e-11 
 6.100000e-01  1.471144e-06  -4.653491e-11 
 6.200000e-01  1.476295e-06  -4.167680e-11 
 6.300000e-01  1.481446e-06  -3.681869e-11 
 6.400000e-01  1.486598e-06  -3.196058e-11 
 6.500000e-01  1.491749e-06  -2.710246e-11 
 6.600000e-01  1.496900e-06  -2.224436e-11 
 6.700000e-01  1.502051e-06  -1.738625e-11 
 6.800000e-01  1.507202e-06  -1.252813e-11 
 6.900000e-01  1.512353e-06  -7.670023e-12 
 7.000000e-01  1.517504e-06  -2.811912e-12 
 
 0.000000e+00  1.051760e-10  -1.212584e-06 
 1.000000e-02  2.864533e-10  -1.205199e-06 
 2.000000e-02  4.677305e-10  -1.197814e-06 
 3.000000e-02  6.490078e-10  -1.190429e-06 
 4.000000e-02  8.302851e-10  -1.183045e-06 
 5.000000e-02  1.011562e-09  -1.175660e-06 
 6.000000e-02  1.192840e-09  -1.168275e-06 
 7.000000e-02  1.374117e-09  -1.160890e-06 
 8.000000e-02  1.555394e-09  -1.153505e-06 
 9.000000e-02  1.736672e-09  -1.146120e-06 
 1.000000e-01  1.917949e-09  -1.138678e-06 
 1.100000e-01  4.957814e-09  -1.106485e-06 
 1.200000e-01  7.997688e-09  -1.074292e-06 
 1.300000e-01  1.103756e-08  -1.042097e-06 
 1.400000e-01  1.407743e-08  -1.009902e-06 
 1.500000e-01  1.711729e-08  -9.777063e-07 
 1.600000e-01  2.015715e-08  -9.455100e-07 
 1.700000e-01  2.319701e-08  -9.133128e-07 
 1.800000e-01  2.623687e-08  -8.811149e-07 
 1.900000e-01  2.927672e-08  -8.489164e-07 
 2.000000e-01  3.231657e-08  -8.166669e-07 
 2.100000e-01  6.159316e-08  -7.537282e-07 
 2.200000e-01  9.087115e-08  -6.907876e-07 
 2.300000e-01  1.201489e-07  -6.278451e-07 
 2.400000e-01  1.494263e-07  -5.649006e-07 
 2.500000e-01  1.787035e-07  -5.019543e-07 
 2.600000e-01  2.079803e-07  -4.390060e-07 
 2.700000e-01  2.372569e-07  -3.760557e-07 
 2.800000e-01  2.665332e-07  -3.131036e-07 
 2.900000e-01  2.958093e-07  -2.501495e-07 
 3.000000e-01  3.250850e-07  -1.872107e-07 
 3.100000e-01  4.055102e-07  -1.700447e-07 
 3.200000e-01  4.859660e-07  -1.528786e-07 
 3.300000e-01  5.664190e-07  -1.357125e-07 
 3.400000e-01  6.468694e-07  -1.185462e-07 
 3.500000e-01  7.273169e-07  -1.013798e-07 
 3.600000e-01  8.077618e-07  -8.421331e-08 
 3.700000e-01  8.882040e-07  -6.704672e-08 
 3.800000e-01  9.686435e-07  -4.988003e-08 
 3.900000e-01  1.049080e-06  -3.271324e-08 
 4.000000e-01  1.129514e-06  -1.554684e-08 
 4.100000e-01  1.189341e-06  -1.408385e-08 
 4.200000e-01  1.249118e-06  -1.262086e-08 
 4.300000e-01  1.308893e-06  -1.115787e-08 
 4.400000e-01  1.368665e-06  -9.694880e-09 
 4.500000e-01  1.428436e-06  -8.231890e-09 
